Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
RPA developer,Patna,Male,B.Sc,18,800000,8LPA,"['rpa', 'developer', 'patna', '800000 salary', '18 experience (years)']"
ServiceNow,Bengaluru,Male,B.Sc,22,1400000,14LPA,"['servicenow', 'bengaluru', '1400000 salary', '22 experience (years)']"
RPA developer,Lucknow,Male,Diploma,17,1500000,15LPA,"['rpa', 'developer', 'diploma', 'lucknow', '1500000 salary', '17 experience (years)']"
HR Data Analyst BA,Mumbai,Male,B.Tech/B.E.,19,2200000,22LPA,"['hr', 'data', 'analyst', 'ba', 'mumbai', '2200000 salary', '19 experience (years)']"
Middle ware Production Support,Noida,Female,B.B.A/ B.M.S,21,2200000,22LPA,"['middle', 'ware', 'production', 'support', 'noida', '2200000 salary', '21 experience (years)']"
RPA developer,Ghaziabad,Male,B.Sc,15,700000,7LPA,"['rpa', 'developer', 'ghaziabad', '700000 salary', '15 experience (years)']"
Servicenow Secops,Pune,Female,B.Tech/B.E.,18,1000000,10LPA,"['servicenow', 'secops', 'pune', '1000000 salary', '18 experience (years)']"
Research Analyst,Navi Mumbai,Male,B.A,18,600000,6LPA,"['research', 'analyst', 'navi', 'mumbai', '600000 salary', '18 experience (years)']"
ServiceNow,Noida,Male,B.Com,7,1000000,10LPA,"['servicenow', 'noida', '1000000 salary', '7 experience (years)']"
,Pune,Female,B.Tech/B.E.,13,2200000,22LPA,"['pune', '2200000 salary', '13 experience (years)']"
"Business
Analyst/Product Owner",Nagpur,Female,B.Tech/B.E.,27,1900000,19LPA,"['business', 'analyst', 'product', 'owner', 'nagpur', '1900000 salary', '27 experience (years)']"
Middle ware Production Support,Hyderabad,Female,B.Sc,19,1100000,11LPA,"['middle', 'ware', 'production', 'support', 'hyderabad', '1100000 salary', '19 experience (years)']"
Research Analyst,Noida,Male,B.A,21,1400000,14LPA,"['research', 'analyst', 'noida', '1400000 salary', '21 experience (years)']"
Research Analyst,Chennai,Female,B.Sc,13,600000,6LPA,"['research', 'analyst', 'chennai', '600000 salary', '13 experience (years)']"
HR Data Analyst BA,New Delhi,Male,BCA,16,700000,7LPA,"['hr', 'data', 'analyst', 'ba', 'bca', 'new', 'delhi', '700000 salary', '16 experience (years)']"
Research Analyst,Visakhapatnam,Male,B.Tech/B.E.,26,1500000,15LPA,"['research', 'analyst', 'visakhapatnam', '1500000 salary', '26 experience (years)']"
Middle ware Production Support,Bengaluru,Female,B.Tech/B.E.,24,1900000,19LPA,"['middle', 'ware', 'production', 'support', 'bengaluru', '1900000 salary', '24 experience (years)']"
Research Analyst,Bengaluru,Female,B.Tech/B.E.,22,2200000,22LPA,"['research', 'analyst', 'bengaluru', '2200000 salary', '22 experience (years)']"
Servicenow Secops,Hyderabad,Male,B.Sc,26,2200000,22LPA,"['servicenow', 'secops', 'hyderabad', '2200000 salary', '26 experience (years)']"
Research Analyst,Noida,Male,B.Tech/B.E.,22,1400000,14LPA,"['research', 'analyst', 'noida', '1400000 salary', '22 experience (years)']"
Research Analyst,Gurugram,Female,B.Com,23,2400000,24LPA,"['research', 'analyst', 'gurugram', '2400000 salary', '23 experience (years)']"
Middle ware Production Support,"Fazilka , Punjab - Punjab",Female,BCA,9,1200000,12LPA,"['middle', 'ware', 'production', 'support', 'bca', 'fazilka', 'punjab', 'punjab', '1200000 salary', '9 experience (years)']"
HR Data Analyst BA,Coimbatore,Female,B.Sc,19,2400000,24LPA,"['hr', 'data', 'analyst', 'ba', 'coimbatore', '2400000 salary', '19 experience (years)']"
Research Analyst,Indore,Male,B.Sc,8,1400000,14LPA,"['research', 'analyst', 'indore', '1400000 salary', '8 experience (years)']"
RPA Developer,Hyderabad,Female,B.Tech/B.E.,13,600000,6LPA,"['rpa', 'developer', 'hyderabad', '600000 salary', '13 experience (years)']"
HR Data Analyst BA,Noida,Female,B.Tech/B.E.,25,1000000,10LPA,"['hr', 'data', 'analyst', 'ba', 'noida', '1000000 salary', '25 experience (years)']"
Research Analyst,"Cuttack, Odisha - Odisha",Male,B.Com,25,900000,9LPA,"['research', 'analyst', 'cuttack', 'odisha', 'odisha', '900000 salary', '25 experience (years)']"
BigQuery Developer,New Delhi,Female,B.Tech/B.E.,21,1100000,11LPA,"['bigquery', 'developer', 'new', 'delhi', '1100000 salary', '21 experience (years)']"
Research Analyst,Hyderabad,Male,BCA,20,1000000,10LPA,"['research', 'analyst', 'bca', 'hyderabad', '1000000 salary', '20 experience (years)']"
Research Analyst,Kanpur,Female,B.Tech/B.E.,14,2100000,21LPA,"['research', 'analyst', 'kanpur', '2100000 salary', '14 experience (years)']"
Research Analyst,Navi Mumbai,Male,B.A,5,1800000,18LPA,"['research', 'analyst', 'navi', 'mumbai', '1800000 salary', '5 experience (years)']"
Research Analyst,Bhubaneswar,Female,,17,900000,9LPA,"['research', 'analyst', 'bhubaneswar', '900000 salary', '17 experience (years)']"
BigQuery Developer,New Delhi,Male,Diploma,10,1800000,18LPA,"['bigquery', 'developer', 'diploma', 'new', 'delhi', '1800000 salary', '10 experience (years)']"
Research Analyst,Pune,Male,B.Tech/B.E.,8,1100000,11LPA,"['research', 'analyst', 'pune', '1100000 salary', '8 experience (years)']"
Research Analyst,Chennai,Female,B.Com,11,1400000,14LPA,"['research', 'analyst', 'chennai', '1400000 salary', '11 experience (years)']"
Research Analyst,Ayodhya - Uttar Pradesh,Female,B.Com,15,1900000,19LPA,"['research', 'analyst', 'ayodhya', 'uttar', 'pradesh', '1900000 salary', '15 experience (years)']"
Research Analyst,Hyderabad,Male,B.A,12,500000,5LPA,"['research', 'analyst', 'hyderabad', '500000 salary', '12 experience (years)']"
Research Analyst,Hubli,Female,B.Com,25,1800000,18LPA,"['research', 'analyst', 'hubli', '1800000 salary', '25 experience (years)']"
Servicenow,Gurugram,Female,B.A,14,2300000,23LPA,"['servicenow', 'gurugram', '2300000 salary', '14 experience (years)']"
Research Analyst,Mumbai,Female,B.Tech/B.E.,17,900000,9LPA,"['research', 'analyst', 'mumbai', '900000 salary', '17 experience (years)']"
Murex Developer,Bengaluru,Male,B.Com,19,2000000,20LPA,"['murex', 'developer', 'bengaluru', '2000000 salary', '19 experience (years)']"
research Analyst,Patna,Male,B.Tech/B.E.,21,1400000,14LPA,"['research', 'analyst', 'patna', '1400000 salary', '21 experience (years)']"
Servicenow,Pune,Male,B.Tech/B.E.,5,1200000,12LPA,"['servicenow', 'pune', '1200000 salary', '5 experience (years)']"
Research Analyst,Pune,Male,B.Sc,9,800000,8LPA,"['research', 'analyst', 'pune', '800000 salary', '9 experience (years)']"
Research Analyst,Hyderabad,Male,B.Tech/B.E.,13,1600000,16LPA,"['research', 'analyst', 'hyderabad', '1600000 salary', '13 experience (years)']"
Research Analyst,Nagaur,Male,Diploma,8,2400000,24LPA,"['research', 'analyst', 'diploma', 'nagaur', '2400000 salary', '8 experience (years)']"
Research Analyst,New Delhi,Female,BCA,16,1200000,12LPA,"['research', 'analyst', 'bca', 'new', 'delhi', '1200000 salary', '16 experience (years)']"
Research Analyst,Lucknow,Female,B.Tech/B.E.,23,600000,6LPA,"['research', 'analyst', 'lucknow', '600000 salary', '23 experience (years)']"
Research Analyst,Noida,Male,B.Tech/B.E.,9,2000000,20LPA,"['research', 'analyst', 'noida', '2000000 salary', '9 experience (years)']"
Research Analyst,Chennai,Female,B.Tech/B.E.,11,2400000,24LPA,"['research', 'analyst', 'chennai', '2400000 salary', '11 experience (years)']"
Research Analyst,New Delhi,Male,B.Com,27,900000,9LPA,"['research', 'analyst', 'new', 'delhi', '900000 salary', '27 experience (years)']"
ELK Engineer,Kaithal,Male,B.A,23,2000000,20LPA,"['elk', 'engineer', 'kaithal', '2000000 salary', '23 experience (years)']"
ELK Engineer,Bengaluru,Male,B.Com,13,1000000,10LPA,"['elk', 'engineer', 'bengaluru', '1000000 salary', '13 experience (years)']"
iOS,New Delhi,Male,B.Com,9,900000,9LPA,"['ios', 'new', 'delhi', '900000 salary', '9 experience (years)']"
ELK Engineer,Hyderabad,Male,B.B.A/ B.M.S,14,600000,6LPA,"['elk', 'engineer', 'hyderabad', '600000 salary', '14 experience (years)']"
Druid Apache,New Delhi,Female,B.A,12,800000,8LPA,"['druid', 'apache', 'new', 'delhi', '800000 salary', '12 experience (years)']"
BigQuery Developer,Mumbai Suburban,Male,BCA,12,800000,8LPA,"['bigquery', 'developer', 'bca', 'mumbai', 'suburban', '800000 salary', '12 experience (years)']"
BigQuery Developer,Hyderabad,Male,B.A,6,2400000,24LPA,"['bigquery', 'developer', 'hyderabad', '2400000 salary', '6 experience (years)']"
BigQuery Developer,New Delhi,Male,B.Tech/B.E.,25,2200000,22LPA,"['bigquery', 'developer', 'new', 'delhi', '2200000 salary', '25 experience (years)']"
BigQuery Developer,Kolkata,Female,B.Tech/B.E.,15,2400000,24LPA,"['bigquery', 'developer', 'kolkata', '2400000 salary', '15 experience (years)']"
BigQuery Developer,Bengaluru,Male,B.A,8,1500000,15LPA,"['bigquery', 'developer', 'bengaluru', '1500000 salary', '8 experience (years)']"
BigQuery Developer,Noida,Male,B.B.A/ B.M.S,16,2500000,25LPA,"['bigquery', 'developer', 'noida', '2500000 salary', '16 experience (years)']"
apache druid,Noida,Female,Diploma,22,2400000,24LPA,"['apache', 'druid', 'diploma', 'noida', '2400000 salary', '22 experience (years)']"
iOS,Coimbatore,Male,B.Tech/B.E.,9,2000000,20LPA,"['ios', 'coimbatore', '2000000 salary', '9 experience (years)']"
SYBASE,Mumbai,Male,B.Tech/B.E.,10,1600000,16LPA,"['sybase', 'mumbai', '1600000 salary', '10 experience (years)']"
SYBASE,Gurugram,Male,B.Tech/B.E.,16,600000,6LPA,"['sybase', 'gurugram', '600000 salary', '16 experience (years)']"
iOS,Noida,Female,B.Tech/B.E.,18,800000,8LPA,"['ios', 'noida', '800000 salary', '18 experience (years)']"
SYBASE,Ghaziabad,Male,B.A,6,1900000,19LPA,"['sybase', 'ghaziabad', '1900000 salary', '6 experience (years)']"
apache druid,Bhatkal,Male,B.Tech/B.E.,27,1600000,16LPA,"['apache', 'druid', 'bhatkal', '1600000 salary', '27 experience (years)']"
Security engineer,Noida,Female,,5,1200000,12LPA,"['security', 'engineer', 'noida', '1200000 salary', '5 experience (years)']"
SYBASE,Chennai,Male,B.Tech/B.E.,11,2000000,20LPA,"['sybase', 'chennai', '2000000 salary', '11 experience (years)']"
Math,Noida,Male,B.Com,28,1700000,17LPA,"['math', 'noida', '1700000 salary', '28 experience (years)']"
iOS,Pune,Male,B.Sc,12,1300000,13LPA,"['ios', 'pune', '1300000 salary', '12 experience (years)']"
Computer vision,Prayagraj,Female,Diploma,10,2400000,24LPA,"['computer', 'vision', 'diploma', 'prayagraj', '2400000 salary', '10 experience (years)']"
Computer vision,Bengaluru,Female,B.Com,5,1900000,19LPA,"['computer', 'vision', 'bengaluru', '1900000 salary', '5 experience (years)']"
Computer vision,Gurugram,Male,B.Sc,22,1200000,12LPA,"['computer', 'vision', 'gurugram', '1200000 salary', '22 experience (years)']"
Computer vision,New Delhi,Male,Diploma,19,2100000,21LPA,"['computer', 'vision', 'diploma', 'new', 'delhi', '2100000 salary', '19 experience (years)']"
SYBASE,Gurugram,,B.Tech/B.E.,28,2500000,25LPA,"['sybase', 'gurugram', '2500000 salary', '28 experience (years)']"
SYBASE,Hyderabad,Female,B.Tech/B.E.,26,2000000,20LPA,"['sybase', 'hyderabad', '2000000 salary', '26 experience (years)']"
ELK Engineer,Pune,Female,Diploma,16,2000000,20LPA,"['elk', 'engineer', 'diploma', 'pune', '2000000 salary', '16 experience (years)']"
iOS,New Delhi,Male,B.Tech/B.E.,20,800000,8LPA,"['ios', 'new', 'delhi', '800000 salary', '20 experience (years)']"
ELK Engineer,Noida,Female,B.A,13,2400000,24LPA,"['elk', 'engineer', 'noida', '2400000 salary', '13 experience (years)']"
Computer vision,Not Mentioned,Male,B.Sc,12,2300000,23LPA,"['computer', 'vision', 'not', 'mentioned', '2300000 salary', '12 experience (years)']"
Computer vision,Kochi,Female,B.Tech/B.E.,28,2100000,21LPA,"['computer', 'vision', 'kochi', '2100000 salary', '28 experience (years)']"
iOS,Chandigarh,Female,B.Tech/B.E.,15,600000,6LPA,"['ios', 'chandigarh', '600000 salary', '15 experience (years)']"
ELK Engineer,Chennai,Male,Diploma,13,1400000,14LPA,"['elk', 'engineer', 'diploma', 'chennai', '1400000 salary', '13 experience (years)']"
apache druid,Noida,Male,B.Tech/B.E.,26,800000,8LPA,"['apache', 'druid', 'noida', '800000 salary', '26 experience (years)']"
iOS,Gurugram,Male,B.Tech/B.E.,24,2300000,23LPA,"['ios', 'gurugram', '2300000 salary', '24 experience (years)']"
PAYTHON AI-ML,Amritsar,Male,B.A,28,700000,7LPA,"['paython', 'ai', 'ml', 'amritsar', '700000 salary', '28 experience (years)']"
ServiceNow Dev. (SAM),Jalgaon,Male,BCA,25,2200000,22LPA,"['servicenow', 'dev', 'sam', 'bca', 'jalgaon', '2200000 salary', '25 experience (years)']"
ServiceNow Dev. (SAM),Kolhapur,Female,B.Com,22,1800000,18LPA,"['servicenow', 'dev', 'sam', 'kolhapur', '1800000 salary', '22 experience (years)']"
Maths Teacher,Bilaspur,Male,B.B.A/ B.M.S,26,1300000,13LPA,"['maths', 'teacher', 'bilaspur', '1300000 salary', '26 experience (years)']"
apache druid,Noida,Male,B.Tech/B.E.,16,1100000,11LPA,"['apache', 'druid', 'noida', '1100000 salary', '16 experience (years)']"
ELK Engineer,Thiruvananthapuram,Male,B.Com,22,1400000,14LPA,"['elk', 'engineer', 'thiruvananthapuram', '1400000 salary', '22 experience (years)']"
iOS,Gurugram,Male,B.Tech/B.E.,17,600000,6LPA,"['ios', 'gurugram', '600000 salary', '17 experience (years)']"
iOS,New Delhi,Male,B.A,18,1600000,16LPA,"['ios', 'new', 'delhi', '1600000 salary', '18 experience (years)']"
Maths Teacher,New Delhi,Male,B.Sc,13,900000,9LPA,"['maths', 'teacher', 'new', 'delhi', '900000 salary', '13 experience (years)']"
iOS,Mumbai,Female,B.Tech/B.E.,19,1400000,14LPA,"['ios', 'mumbai', '1400000 salary', '19 experience (years)']"
computer vision,Gurugram,Male,B.Sc,8,2500000,25LPA,"['computer', 'vision', 'gurugram', '2500000 salary', '8 experience (years)']"
murex developer,Pune,Female,B.Com,8,2100000,21LPA,"['murex', 'developer', 'pune', '2100000 salary', '8 experience (years)']"
ServiceNow,Hyderabad,Female,B.Sc,7,2400000,24LPA,"['servicenow', 'hyderabad', '2400000 salary', '7 experience (years)']"
iOS,New Delhi,Male,Not Pursuing Graduation,16,1200000,12LPA,"['ios', 'not', 'pursuing', 'graduation', 'new', 'delhi', '1200000 salary', '16 experience (years)']"
Math,Gurugram,Male,B.Tech/B.E.,5,1100000,11LPA,"['math', 'gurugram', '1100000 salary', '5 experience (years)']"
iOS,Pune,Female,B.Tech/B.E.,12,500000,5LPA,"['ios', 'pune', '500000 salary', '12 experience (years)']"
Math,Gurugram,Female,B.Tech/B.E.,19,1900000,19LPA,"['math', 'gurugram', '1900000 salary', '19 experience (years)']"
Apache Druid,Bengaluru,Male,B.Sc,7,700000,7LPA,"['apache', 'druid', 'bengaluru', '700000 salary', '7 experience (years)']"
Apache Druid,Hyderabad,Male,B.Tech/B.E.,25,2200000,22LPA,"['apache', 'druid', 'hyderabad', '2200000 salary', '25 experience (years)']"
Apache Druid,Bengaluru,Female,BJMC,12,1600000,16LPA,"['apache', 'druid', 'bjmc', 'bengaluru', '1600000 salary', '12 experience (years)']"
Apache Druid,New Delhi,,B.A,26,1100000,11LPA,"['apache', 'druid', 'new', 'delhi', '1100000 salary', '26 experience (years)']"
Apache Druid,Gurugram,Male,B.Tech/B.E.,8,1500000,15LPA,"['apache', 'druid', 'gurugram', '1500000 salary', '8 experience (years)']"
Apache Druid,Pune,Male,course on computer concepts,10,700000,7LPA,"['apache', 'druid', 'course', 'on', 'computer', 'concepts', 'pune', '700000 salary', '10 experience (years)']"
Apache Druid,Mumbai,Female,BCA,12,1900000,19LPA,"['apache', 'druid', 'bca', 'mumbai', '1900000 salary', '12 experience (years)']"
Apache Druid,Hyderabad,Female,B.Des.,11,1300000,13LPA,"['apache', 'druid', 'hyderabad', '1300000 salary', '11 experience (years)']"
Apache Druid,Ramnagar,Male,B.A,8,1600000,16LPA,"['apache', 'druid', 'ramnagar', '1600000 salary', '8 experience (years)']"
Apache Druid,New Delhi,Male,B.Com,13,900000,9LPA,"['apache', 'druid', 'new', 'delhi', '900000 salary', '13 experience (years)']"
Computer vision,Gurugram,Male,B.Com,7,700000,7LPA,"['computer', 'vision', 'gurugram', '700000 salary', '7 experience (years)']"
Computer vision,Noida,Male,BCA,21,1300000,13LPA,"['computer', 'vision', 'bca', 'noida', '1300000 salary', '21 experience (years)']"
Computer vision,Bilaspur,Female,B.Tech/B.E.,19,600000,6LPA,"['computer', 'vision', 'bilaspur', '600000 salary', '19 experience (years)']"
Maths Teacher,New Delhi,,B.Tech/B.E.,26,2100000,21LPA,"['maths', 'teacher', 'new', 'delhi', '2100000 salary', '26 experience (years)']"
Maths Teacher,Pune,Female,B.Tech/B.E.,9,2300000,23LPA,"['maths', 'teacher', 'pune', '2300000 salary', '9 experience (years)']"
Maths Teacher,New Delhi,Male,B.Tech/B.E.,9,2200000,22LPA,"['maths', 'teacher', 'new', 'delhi', '2200000 salary', '9 experience (years)']"
Maths Teacher,Noida,Female,B.Tech/B.E.,9,1800000,18LPA,"['maths', 'teacher', 'noida', '1800000 salary', '9 experience (years)']"
Python backend,Pune,Male,B.Tech/B.E.,5,1300000,13LPA,"['python', 'backend', 'pune', '1300000 salary', '5 experience (years)']"
Python backend,Hyderabad,Female,,21,1200000,12LPA,"['python', 'backend', 'hyderabad', '1200000 salary', '21 experience (years)']"
Python backend,Mumbai,Male,B.A,6,800000,8LPA,"['python', 'backend', 'mumbai', '800000 salary', '6 experience (years)']"
Python backend,Kolkata,Female,B.Tech/B.E.,11,1500000,15LPA,"['python', 'backend', 'kolkata', '1500000 salary', '11 experience (years)']"
Python backend,Navi Mumbai,Male,B.Tech/B.E.,13,1600000,16LPA,"['python', 'backend', 'navi', 'mumbai', '1600000 salary', '13 experience (years)']"
Machine learning with CV,New Delhi,Female,B.Tech/B.E.,22,1000000,10LPA,"['machine', 'learning', 'with', 'cv', 'new', 'delhi', '1000000 salary', '22 experience (years)']"
Machine learning with CV,Guwahati,Female,B.Tech/B.E.,13,800000,8LPA,"['machine', 'learning', 'with', 'cv', 'guwahati', '800000 salary', '13 experience (years)']"
Python backend,Bengaluru,Female,B.Tech/B.E.,23,1600000,16LPA,"['python', 'backend', 'bengaluru', '1600000 salary', '23 experience (years)']"
Machine learning with CV,Bengaluru,Male,BCA,14,2100000,21LPA,"['machine', 'learning', 'with', 'cv', 'bca', 'bengaluru', '2100000 salary', '14 experience (years)']"
Advance Maths Teacher,Chennai,Female,B.Sc,25,1600000,16LPA,"['advance', 'maths', 'teacher', 'chennai', '1600000 salary', '25 experience (years)']"
Python backend,New Delhi,Female,B.Sc,14,1300000,13LPA,"['python', 'backend', 'new', 'delhi', '1300000 salary', '14 experience (years)']"
Python backend,Bengaluru,Female,B.Tech/B.E.,13,1100000,11LPA,"['python', 'backend', 'bengaluru', '1100000 salary', '13 experience (years)']"
Python Backend,Gurugram,Female,B.Tech/B.E.,16,1500000,15LPA,"['python', 'backend', 'gurugram', '1500000 salary', '16 experience (years)']"
Python Backend,New Delhi,Female,B.Sc,18,600000,6LPA,"['python', 'backend', 'new', 'delhi', '600000 salary', '18 experience (years)']"
Python Backend,Kolkata,Male,B.Com,12,1700000,17LPA,"['python', 'backend', 'kolkata', '1700000 salary', '12 experience (years)']"
Python Backend,Pune,Female,B.Tech/B.E.,19,2000000,20LPA,"['python', 'backend', 'pune', '2000000 salary', '19 experience (years)']"
Python Backend,New Delhi,Female,B.Tech/B.E.,19,900000,9LPA,"['python', 'backend', 'new', 'delhi', '900000 salary', '19 experience (years)']"
Python Backend,New Delhi,Male,B.A,27,2300000,23LPA,"['python', 'backend', 'new', 'delhi', '2300000 salary', '27 experience (years)']"
Python Backend,New Delhi,Male,B.Tech/B.E.,24,600000,6LPA,"['python', 'backend', 'new', 'delhi', '600000 salary', '24 experience (years)']"
Python Backend,Nagpur,Female,B.Tech/B.E.,17,1300000,13LPA,"['python', 'backend', 'nagpur', '1300000 salary', '17 experience (years)']"
Python backend,Noida,Male,B.Tech/B.E.,26,600000,6LPA,"['python', 'backend', 'noida', '600000 salary', '26 experience (years)']"
python backend,Mumbai,Male,B.Tech/B.E.,24,2000000,20LPA,"['python', 'backend', 'mumbai', '2000000 salary', '24 experience (years)']"
Python Backend,New Delhi,Male,B.A,17,800000,8LPA,"['python', 'backend', 'new', 'delhi', '800000 salary', '17 experience (years)']"
Machine learning with CV,Tiruchirapalli,Male,B.Tech/B.E.,10,1200000,12LPA,"['machine', 'learning', 'with', 'cv', 'tiruchirapalli', '1200000 salary', '10 experience (years)']"
Python backend,Mumbai,Male,B.A,26,2000000,20LPA,"['python', 'backend', 'mumbai', '2000000 salary', '26 experience (years)']"
Python backend,New Delhi,Male,BCA,12,1800000,18LPA,"['python', 'backend', 'bca', 'new', 'delhi', '1800000 salary', '12 experience (years)']"
Python backend,Pune,Male,B.Com,15,2100000,21LPA,"['python', 'backend', 'pune', '2100000 salary', '15 experience (years)']"
Python backend,Bengaluru,Male,B.Tech/B.E.,18,2000000,20LPA,"['python', 'backend', 'bengaluru', '2000000 salary', '18 experience (years)']"
Python backend,Pune,Male,B.Sc,11,1900000,19LPA,"['python', 'backend', 'pune', '1900000 salary', '11 experience (years)']"
Python backend,Pune,Male,B.Tech/B.E.,28,2500000,25LPA,"['python', 'backend', 'pune', '2500000 salary', '28 experience (years)']"
ML (NLP),Noida,Male,B.A,23,1000000,10LPA,"['ml', 'nlp', 'noida', '1000000 salary', '23 experience (years)']"
ML (NLP),Bengaluru,Male,B.Tech/B.E.,21,1800000,18LPA,"['ml', 'nlp', 'bengaluru', '1800000 salary', '21 experience (years)']"
ML (NLP),Noida,Male,B.Tech/B.E.,25,900000,9LPA,"['ml', 'nlp', 'noida', '900000 salary', '25 experience (years)']"
Machine learning with CV,Dindigul,Male,B.Com,10,1600000,16LPA,"['machine', 'learning', 'with', 'cv', 'dindigul', '1600000 salary', '10 experience (years)']"
Machine learning with CV,Noida,Male,B.Sc,27,1800000,18LPA,"['machine', 'learning', 'with', 'cv', 'noida', '1800000 salary', '27 experience (years)']"
Python backend,Mumbai,Female,B.Com,8,2100000,21LPA,"['python', 'backend', 'mumbai', '2100000 salary', '8 experience (years)']"
Python backend,Bengaluru,Male,B.Tech/B.E.,28,1800000,18LPA,"['python', 'backend', 'bengaluru', '1800000 salary', '28 experience (years)']"
Python Backend,Siliguri,Male,BCA,10,2300000,23LPA,"['python', 'backend', 'bca', 'siliguri', '2300000 salary', '10 experience (years)']"
Python Backend,Kolkata,Male,B.Sc,16,2300000,23LPA,"['python', 'backend', 'kolkata', '2300000 salary', '16 experience (years)']"
Python Backend,Hyderabad,Female,BCA,27,1800000,18LPA,"['python', 'backend', 'bca', 'hyderabad', '1800000 salary', '27 experience (years)']"
HR Data Analyst BA,Bengaluru,Male,B.Sc,26,2200000,22LPA,"['hr', 'data', 'analyst', 'ba', 'bengaluru', '2200000 salary', '26 experience (years)']"
Research Analyst,Mumbai,Female,B.Tech/B.E.,16,1100000,11LPA,"['research', 'analyst', 'mumbai', '1100000 salary', '16 experience (years)']"
ServiceNow,New Delhi,Female,B.Sc,22,700000,7LPA,"['servicenow', 'new', 'delhi', '700000 salary', '22 experience (years)']"
Python Backend,New Delhi,Female,B.Tech/B.E.,12,500000,5LPA,"['python', 'backend', 'new', 'delhi', '500000 salary', '12 experience (years)']"
Python Backend,New Delhi,Male,BCA,25,1000000,10LPA,"['python', 'backend', 'bca', 'new', 'delhi', '1000000 salary', '25 experience (years)']"
Python Backend,Noida,Female,BCA,25,1400000,14LPA,"['python', 'backend', 'bca', 'noida', '1400000 salary', '25 experience (years)']"
Python Backend,Hyderabad,Male,B.PHARMACY,16,1900000,19LPA,"['python', 'backend', 'hyderabad', '1900000 salary', '16 experience (years)']"
Python Backend,Gurugram,Male,B.Sc,25,1900000,19LPA,"['python', 'backend', 'gurugram', '1900000 salary', '25 experience (years)']"
Python Backend,"Noida, Delhi - Uttar Pradesh",Female,B.Tech/B.E.,6,2400000,24LPA,"['python', 'backend', 'noida', 'delhi', 'uttar', 'pradesh', '2400000 salary', '6 experience (years)']"
Python Backend,Bengaluru,Male,B.Tech/B.E.,23,2500000,25LPA,"['python', 'backend', 'bengaluru', '2500000 salary', '23 experience (years)']"
ServiceNow,Pune,Female,Diploma,10,600000,6LPA,"['servicenow', 'diploma', 'pune', '600000 salary', '10 experience (years)']"
AWS Solution Architect,Mumbai,Female,B.A,12,900000,9LPA,"['aws', 'solution', 'architect', 'mumbai', '900000 salary', '12 experience (years)']"
RPA Developer,Noida,Male,B.Sc,22,2100000,21LPA,"['rpa', 'developer', 'noida', '2100000 salary', '22 experience (years)']"
C and Linux,New Delhi,Female,B.Pharma,12,2300000,23LPA,"['c', 'and', 'linux', 'new', 'delhi', '2300000 salary', '12 experience (years)']"
C and Linux,Navi Mumbai and pune - Maharashtra,Male,B.Sc,26,700000,7LPA,"['c', 'and', 'linux', 'navi', 'mumbai', 'and', 'pune', 'maharashtra', '700000 salary', '26 experience (years)']"
Python Backend,Bengaluru,Male,B.Sc,7,1300000,13LPA,"['python', 'backend', 'bengaluru', '1300000 salary', '7 experience (years)']"
Data Science,Lucknow,Male,BCA,9,900000,9LPA,"['data', 'science', 'bca', 'lucknow', '900000 salary', '9 experience (years)']"
AWS Databricks,Ahmedabad,Male,B.B.A/ B.M.S,8,2300000,23LPA,"['aws', 'databricks', 'ahmedabad', '2300000 salary', '8 experience (years)']"
Hr data business analyst (BA),Noida,Male,BBM,7,800000,8LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'bbm', 'noida', '800000 salary', '7 experience (years)']"
Data Science,Bengaluru,Male,B.Tech/B.E.,22,2400000,24LPA,"['data', 'science', 'bengaluru', '2400000 salary', '22 experience (years)']"
Data Science,New Delhi,Female,,15,900000,9LPA,"['data', 'science', 'new', 'delhi', '900000 salary', '15 experience (years)']"
Research Analyst,Chennai,Male,BCA,23,800000,8LPA,"['research', 'analyst', 'bca', 'chennai', '800000 salary', '23 experience (years)']"
AWS Solution Architect,Jamshedpur,Female,B.Sc,5,600000,6LPA,"['aws', 'solution', 'architect', 'jamshedpur', '600000 salary', '5 experience (years)']"
ServiceNow,Pune,Male,Diploma,10,1700000,17LPA,"['servicenow', 'diploma', 'pune', '1700000 salary', '10 experience (years)']"
Python Backend,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,25,2100000,21LPA,"['python', 'backend', 'bca', 'new', 'delhi', 'delhi', 'noida', 'pune', 'delhi', '2100000 salary', '25 experience (years)']"
Python Backend,New Delhi,Male,B.Tech/B.E.,14,700000,7LPA,"['python', 'backend', 'new', 'delhi', '700000 salary', '14 experience (years)']"
Python Backend,Bengaluru,Female,B.A,8,900000,9LPA,"['python', 'backend', 'bengaluru', '900000 salary', '8 experience (years)']"
C and Linux,Bengaluru,Male,B.Tech/B.E.,11,1200000,12LPA,"['c', 'and', 'linux', 'bengaluru', '1200000 salary', '11 experience (years)']"
Data Science,Chennai,Female,B.Tech/B.E.,7,1000000,10LPA,"['data', 'science', 'chennai', '1000000 salary', '7 experience (years)']"
C and Linux,Pune,Male,B.Tech/B.E.,20,700000,7LPA,"['c', 'and', 'linux', 'pune', '700000 salary', '20 experience (years)']"
